GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
1116	1.16e-58	5.40e-63	0.3733	-16.7528794	-6.25350387	2161.94	CHI3L1	chitinase 3 like 1
4314	6.08e-49	5.68e-53	0.4384	-15.3193587	-6.71637491	1808.46	MMP3	matrix metallopeptidase 3
4312	3.16e-43	4.42e-47	0.3732	-14.4108502	-5.37882519	2666.05	MMP1	matrix metallopeptidase 1
57214	3.95e-43	7.37e-47	0.2732	-14.3755253	-3.9268554	631.42	CEMIP	cell migration inducing hyaluronidase 1
7291	6.13e-42	1.43e-45	0.2868	-14.1686807	-4.06290125	173.34	TWIST1	twist family bHLH transcription factor 1
100288077	2.39e-39	6.70e-43	0.374	-13.7301286	-5.13442076	214.58	WTAPP1	Wilms tumor 1 associated protein pseudogene 1
199675	1.66e-37	5.42e-41	0.3972	-13.4080868	-5.32574364	78.97	MCEMP1	mast cell expressed membrane protein 1
6373	7.58e-35	2.83e-38	0.3743	-12.9357078	-4.84130873	156.52	CXCL11	C-X-C motif chemokine ligand 11
3502	4.18e-32	1.76e-35	0.3883	-12.4318512	-4.82773898	70301.74	IGHG3	immunoglobulin heavy constant gamma 3 (G3m marker)
79931	4.32e-30	2.02e-33	0.2818	-12.0466894	-3.39526836	132.38	TNIP3	TNFAIP3 interacting protein 3
8547	6.97e-30	3.58e-33	0.3067	-11.9994216	-3.68070439	118.87	FCN3	ficolin 3
3772	3.13e-29	1.75e-32	0.3387	-11.8671003	-4.01895915	77.64	KCNJ15	potassium inwardly rectifying channel subfamily J member 15
4319	6.58e-29	3.99e-32	0.4017	-11.7980897	-4.73918277	108.73	MMP10	matrix metallopeptidase 10
343	1.18e-28	7.69e-32	0.5706	11.7428196	6.7006363	1771.41	AQP8	aquaporin 8
115908	3.72e-28	2.61e-31	0.2486	-11.6391708	-2.89359872	262.48	CTHRC1	collagen triple helix repeat containing 1
6556	4.03e-28	3.01e-31	0.3059	-11.6268335	-3.55633591	544.63	SLC11A1	solute carrier family 11 member 1
3505	6.18e-28	4.90e-31	0.3906	-11.5851165	-4.52569755	28379.15	IGHGP	immunoglobulin heavy constant gamma P (non-functional)
