GeneID	Symbol	Description	log2(fold change)(Control vs Ulcerative Colitis)	-log10(Pvalue)(Control vs Ulcerative Colitis)
653635	WASH7P	WASP family homolog 7, pseudogene	0.679	3.297
100996442	LOC100996442	WAS protein family homolog 2-like	-0.412	2.279
729737	LOC729737	uncharacterized LOC729737	-0.637	3.002
102723897	WASH9P	WAS protein family homolog 9, pseudogene	0.565	2.835
100132287	LOC100132287	uncharacterized LOC100132287	-0.398	2.369
113219467	MIR12136	microRNA 12136	0.657	1.838
100133331	LOC100133331	replaced by ID 100288069	-0.34	1.906
107984841	LOC107984841	replaced by ID 100288069	-0.572	2.142
107984847	LOC107984847	replaced by ID 100288069	-0.533	1.57
107984849	LOC107984849	replaced by ID 100288069	-0.682	2.343
100288069	LOC100288069	uncharacterized LOC100288069	-0.486	1.862
339451	KLHL17	kelch like family member 17	-0.652	7.036
84069	PLEKHN1	pleckstrin homology domain containing N1	-1.399	11.764
84808	PERM1	PPARGC1 and ESRR induced regulator, muscle 1	-0.937	3.98
9636	ISG15	ISG15 ubiquitin like modifier	-1.02	3.897
375790	AGRN	agrin	-0.335	1.7
112267874	LOC112267874	replaced by ID 105378948	1.201	3.75
105378948	LOC105378948	uncharacterized LOC105378948	0.553	1.727
401934	RNF223	ring finger protein 223	1.759	4.836
54991	C1orf159	chromosome 1 open reading frame 159	0.595	3.074
254099	LINC01342	long intergenic non-protein coding RNA 1342	1.429	5.592
406984	MIR200B	microRNA 200b	1.104	3.192
406983	MIR200A	microRNA 200a	1.319	4.006
554210	MIR429	microRNA 429	1.405	4.913
100506376	TTLL10-AS1	TTLL10 antisense RNA 1	0.87	2.796
254173	TTLL10	tubulin tyrosine ligase like 10	0.542	1.805
7293	TNFRSF4	TNF receptor superfamily member 4	-0.815	2.66
51150	SDF4	stromal cell derived factor 4	0.295	1.357
388581	C1QTNF12	C1q and TNF related 12	1.306	4.747
54973	INTS11	integrator complex subunit 11	0.366	2.084
80772	CPTP	ceramide-1-phosphate transfer protein	0.881	4.283
83756	TAS1R3	taste 1 receptor member 3	-1.563	10.149
54587	MXRA8	matrix remodeling associated 8	-0.581	2.667
54998	AURKAIP1	aurora kinase A interacting protein 1	0.728	2.757
81669	CCNL2	cyclin L2	-0.303	3.084
148413	MRPL20-AS1	MRPL20 antisense RNA 1	0.365	2.209
441869	ANKRD65	ankyrin repeat domain 65	-0.574	1.9
105378585	ANKRD65-AS1	ANKRD65 antisense RNA 1	-0.598	1.78
107985729	LOC107985729	uncharacterized LOC107985729	-0.692	3.871
64856	VWA1	von Willebrand factor A domain containing 1	-1.03	7.385
219293	ATAD3C	ATPase family AAA domain containing 3C	-0.864	8.494
29101	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase	0.29	1.304
643988	FNDC10	fibronectin type III domain containing 10	0.49	1.367
142678	MIB2	MIB E3 ubiquitin protein ligase 2	0.577	3.376
112268218	LOC112268218	uncharacterized LOC112268218	0.626	4.125
65220	NADK	NAD kinase	0.211	1.407
339456	TMEM52	transmembrane protein 52	0.878	2.856
2563	GABRD	gamma-aminobutyric acid type A receptor subunit delta	-1.113	4.31
5590	PRKCZ	protein kinase C zeta	0.845	6.934
100506504	PRKCZ-AS1	PRKCZ antisense RNA 1	0.699	7.73
199990	FAAP20	FA core complex associated protein 20	0.459	1.594
6497	SKI	SKI proto-oncogene	-0.507	2.376
79906	MORN1	MORN repeat containing 1	0.298	1.696
100129534	LOC100129534	small nuclear ribonucleoprotein polypeptide N pseudogene	0.883	5.964
11079	RER1	retention in endoplasmic reticulum sorting receptor 1	0.398	2.727
5192	PEX10	peroxisomal biogenesis factor 10	0.568	3.944
9651	PLCH2	phospholipase C eta 2	0.785	5.584
115110	TNFRSF14-AS1	TNFRSF14 antisense RNA 1	0.582	2.884
8764	TNFRSF14	TNF receptor superfamily member 14	0.437	3.036
100996583	LOC100996583	uncharacterized LOC100996583	1.158	6.309
127281	PRXL2B	peroxiredoxin like 2B	0.675	3.667
79258	MMEL1	membrane metalloendopeptidase like 1	0.919	4.817
100287898	TTC34	tetratricopeptide repeat domain 34	0.477	2.615
27237	ARHGEF16	Rho guanine nucleotide exchange factor 16	1.189	3.907
127262	TPRG1L	tumor protein p63 regulated 1 like	0.847	9.058
7161	TP73	tumor protein p73	-0.967	4.728
57212	TP73-AS1	TP73 antisense RNA 1	-0.436	1.799
57470	LRRC47	leucine rich repeat containing 47	0.218	2.496
100133612	LINC01134	long intergenic non-protein coding RNA 1134	0.627	1.692
55966	AJAP1	adherens junctions associated protein 1	-1.755	5.356
261734	NPHP4	nephrocystin 4	-0.457	6.219
8514	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	-0.628	2.227
6146	RPL22	ribosomal protein L22	0.44	3.257
102724450	RNF207-AS1	RNF207 antisense RNA 1	0.81	3.466
388591	RNF207	ring finger protein 207	0.603	5.417
387509	GPR153	G protein-coupled receptor 153	0.526	2.208
11332	ACOT7	acyl-CoA thioesterase 7	0.471	1.981
54626	HES2	hes family bHLH transcription factor 2	1.242	3.19
83715	ESPN	espin	1.767	7.973
57449	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5	-0.316	1.886
79707	NOL9	nucleolar protein 9	0.229	3.106
80835	TAS1R1	taste 1 receptor member 1	-0.8	1.369
3104	ZBTB48	zinc finger and BTB domain containing 48	0.61	4.133
9903	KLHL21	kelch like family member 21	-0.941	4.923
107984913	LOC107984913	uncharacterized LOC107984913	-0.557	1.7
148479	PHF13	PHD finger protein 13	-0.455	4.384
90326	THAP3	THAP domain containing 3	0.639	3.678
55735	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11	0.632	4.89
110841581	CAMTA1-DT	CAMTA1 divergent transcript	0.543	1.398
23261	CAMTA1	calmodulin binding transcription activator 1	0.277	2.311
3604	TNFRSF9	TNF receptor superfamily member 9	-1.363	4.12
54206	ERRFI1	ERBB receptor feedback inhibitor 1	-0.766	3.02
80045	GPR157	G protein-coupled receptor 157	0.408	2.627
106614088	MIR34AHG	MIR34A host gene	-0.688	2.557
102724571	LNCTAM34A	long non coding transcriptional activator of miR34a	-0.757	3.399
84275	SLC25A33	solute carrier family 25 member 33	0.386	1.902
107985734	LOC107985734		0.595	1.939
22883	CLSTN1	calsyntenin 1	0.422	4.051
84328	LZIC	leucine zipper and CTNNBIP1 domain containing	0.513	6.253
64802	NMNAT1	nicotinamide nucleotide adenylyltransferase 1	0.836	5.508
116362	RBP7	retinol binding protein 7	-0.857	2.753
5195	PEX14	peroxisomal biogenesis factor 14	0.296	1.977
54897	CASZ1	castor zinc finger 1	0.528	2.563
105376733	LOC105376733	uncharacterized LOC105376733	0.785	1.337
10747	MASP2	MBL associated serine protease 2	0.538	3.901
6723	SRM	spermidine synthase	-0.639	3.374
105376736	EXOSC10-AS1	EXOSC10 antisense RNA 1	-0.257	1.743
2475	MTOR	mechanistic target of rapamycin kinase	-0.261	2.727
100873935	MTOR-AS1	MTOR antisense RNA 1	-0.455	1.95
29914	UBIAD1	UbiA prenyltransferase domain containing 1	0.22	1.871
26270	FBXO6	F-box protein 6	-0.737	6.535
10459	MAD2L2	mitotic arrest deficient 2 like 2	-0.686	3.644
374946	DRAXIN	dorsal inhibitory axon guidance protein	-0.984	4.611
57085	AGTRAP	angiotensin II receptor associated protein	-0.413	1.89
1185	CLCN6	chloride voltage-gated channel 6	-0.391	4.286
100379251	NPPA-AS1	NPPA antisense RNA 1	-0.443	3.48
90231	KIAA2013	KIAA2013	0.558	3.495
5351	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	-0.907	9.524
9927	MFN2	mitofusin 2	0.265	2.043
943	TNFRSF8	TNF receptor superfamily member 8	-1.275	5.464
102465836	MIR7846	microRNA 7846	-1.21	4.836
7133	TNFRSF1B	TNF receptor superfamily member 1B	-0.974	5.953
9249	DHRS3	dehydrogenase/reductase 3	0.684	4.703
10630	PDPN	podoplanin	-2.546	17.799
7799	PRDM2	PR/SET domain 2	-0.512	2.764
23254	KAZN	kazrin, periplakin interacting protein	-0.353	2.796
200197	TMEM51-AS1	TMEM51 antisense RNA 1	0.371	2.246
55092	TMEM51	transmembrane protein 51	0.487	3.779
23341	DNAJC16	DnaJ heat shock protein family (Hsp40) member C16	0.321	2.924
79814	AGMAT	agmatinase	0.811	2.734
6248	RSC1A1	regulator of solute carriers 1	-0.564	3.149
23207	PLEKHM2	pleckstrin homology and RUN domain containing M2	-0.301	2.318
284723	SLC25A34	solute carrier family 25 member 34	1.011	6.352
