GeneID	Symbol	Description	log10baseMean	log2FC
653635	WASH7P	WASP family homolog 7, pseudogene	2.954	0.679
100996442	LOC100996442	WAS protein family homolog 2-like	1.743	-0.412
729737	LOC729737	uncharacterized LOC729737	2.733	-0.637
102723897	WASH9P	WAS protein family homolog 9, pseudogene	2.984	0.565
100132287	LOC100132287	uncharacterized LOC100132287	2.461	-0.398
113219467	MIR12136	microRNA 12136	4.076	0.657
100133331	LOC100133331	replaced by ID 100288069	2.557	-0.34
107984841	LOC107984841	replaced by ID 100288069	1.603	-0.572
107984847	LOC107984847	replaced by ID 100288069	1.714	-0.533
107984849	LOC107984849	replaced by ID 100288069	0.955	-0.682
100288069	LOC100288069	uncharacterized LOC100288069	1.737	-0.486
339451	KLHL17	kelch like family member 17	2.492	-0.652
84069	PLEKHN1	pleckstrin homology domain containing N1	1.912	-1.399
84808	PERM1	PPARGC1 and ESRR induced regulator, muscle 1	1.308	-0.937
9636	ISG15	ISG15 ubiquitin like modifier	2.773	-1.02
375790	AGRN	agrin	3.433	-0.335
112267874	LOC112267874	replaced by ID 105378948	1.927	1.201
105378948	LOC105378948	uncharacterized LOC105378948	2.039	0.553
401934	RNF223	ring finger protein 223	2.228	1.759
54991	C1orf159	chromosome 1 open reading frame 159	2.778	0.595
254099	LINC01342	long intergenic non-protein coding RNA 1342	1.579	1.429
406984	MIR200B	microRNA 200b	1.096	1.104
406983	MIR200A	microRNA 200a	1.017	1.319
554210	MIR429	microRNA 429	1.527	1.405
100506376	TTLL10-AS1	TTLL10 antisense RNA 1	1.46	0.87
254173	TTLL10	tubulin tyrosine ligase like 10	1.67	0.542
7293	TNFRSF4	TNF receptor superfamily member 4	2.503	-0.815
51150	SDF4	stromal cell derived factor 4	3.774	0.295
388581	C1QTNF12	C1q and TNF related 12	2.291	1.306
54973	INTS11	integrator complex subunit 11	3.421	0.366
80772	CPTP	ceramide-1-phosphate transfer protein	3.081	0.881
83756	TAS1R3	taste 1 receptor member 3	2.311	-1.563
54587	MXRA8	matrix remodeling associated 8	3.205	-0.581
54998	AURKAIP1	aurora kinase A interacting protein 1	3.468	0.728
81669	CCNL2	cyclin L2	3.773	-0.303
148413	MRPL20-AS1	MRPL20 antisense RNA 1	2.69	0.365
441869	ANKRD65	ankyrin repeat domain 65	2.046	-0.574
105378585	ANKRD65-AS1	ANKRD65 antisense RNA 1	1.005	-0.598
107985729	LOC107985729	uncharacterized LOC107985729	1.176	-0.692
64856	VWA1	von Willebrand factor A domain containing 1	3.268	-1.03
219293	ATAD3C	ATPase family AAA domain containing 3C	2.032	-0.864
29101	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase	3.392	0.29
643988	FNDC10	fibronectin type III domain containing 10	1.971	0.49
142678	MIB2	MIB E3 ubiquitin protein ligase 2	3.406	0.577
112268218	LOC112268218	uncharacterized LOC112268218	2.361	0.626
65220	NADK	NAD kinase	3.384	0.211
339456	TMEM52	transmembrane protein 52	1.923	0.878
2563	GABRD	gamma-aminobutyric acid type A receptor subunit delta	1.203	-1.113
5590	PRKCZ	protein kinase C zeta	2.962	0.845
100506504	PRKCZ-AS1	PRKCZ antisense RNA 1	1.861	0.699
199990	FAAP20	FA core complex associated protein 20	3.023	0.459
6497	SKI	SKI proto-oncogene	3.216	-0.507
79906	MORN1	MORN repeat containing 1	2.182	0.298
100129534	LOC100129534	small nuclear ribonucleoprotein polypeptide N pseudogene	1.811	0.883
11079	RER1	retention in endoplasmic reticulum sorting receptor 1	3.497	0.398
5192	PEX10	peroxisomal biogenesis factor 10	2.822	0.568
9651	PLCH2	phospholipase C eta 2	2.419	0.785
115110	TNFRSF14-AS1	TNFRSF14 antisense RNA 1	3.248	0.582
8764	TNFRSF14	TNF receptor superfamily member 14	3.663	0.437
100996583	LOC100996583	uncharacterized LOC100996583	2.022	1.158
127281	PRXL2B	peroxiredoxin like 2B	3.212	0.675
79258	MMEL1	membrane metalloendopeptidase like 1	2.486	0.919
100287898	TTC34	tetratricopeptide repeat domain 34	1.375	0.477
27237	ARHGEF16	Rho guanine nucleotide exchange factor 16	3.291	1.189
127262	TPRG1L	tumor protein p63 regulated 1 like	3.289	0.847
7161	TP73	tumor protein p73	1.82	-0.967
57212	TP73-AS1	TP73 antisense RNA 1	2.678	-0.436
57470	LRRC47	leucine rich repeat containing 47	3.126	0.218
100133612	LINC01134	long intergenic non-protein coding RNA 1134	1.196	0.627
55966	AJAP1	adherens junctions associated protein 1	1.826	-1.755
261734	NPHP4	nephrocystin 4	2.514	-0.457
8514	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	2.918	-0.628
6146	RPL22	ribosomal protein L22	4.092	0.44
102724450	RNF207-AS1	RNF207 antisense RNA 1	1.3	0.81
388591	RNF207	ring finger protein 207	2.769	0.603
387509	GPR153	G protein-coupled receptor 153	2.69	0.526
11332	ACOT7	acyl-CoA thioesterase 7	3.093	0.471
54626	HES2	hes family bHLH transcription factor 2	2.73	1.242
83715	ESPN	espin	2.962	1.767
57449	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5	2.911	-0.316
79707	NOL9	nucleolar protein 9	2.984	0.229
80835	TAS1R1	taste 1 receptor member 1	1.248	-0.8
3104	ZBTB48	zinc finger and BTB domain containing 48	2.957	0.61
9903	KLHL21	kelch like family member 21	2.991	-0.941
107984913	LOC107984913	uncharacterized LOC107984913	0.996	-0.557
148479	PHF13	PHD finger protein 13	2.609	-0.455
90326	THAP3	THAP domain containing 3	2.98	0.639
55735	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11	3.219	0.632
110841581	CAMTA1-DT	CAMTA1 divergent transcript	1.312	0.543
23261	CAMTA1	calmodulin binding transcription activator 1	2.963	0.277
3604	TNFRSF9	TNF receptor superfamily member 9	2.046	-1.363
54206	ERRFI1	ERBB receptor feedback inhibitor 1	3.299	-0.766
80045	GPR157	G protein-coupled receptor 157	2.548	0.408
106614088	MIR34AHG	MIR34A host gene	2.048	-0.688
102724571	LNCTAM34A	long non coding transcriptional activator of miR34a	1.135	-0.757
84275	SLC25A33	solute carrier family 25 member 33	2.725	0.386
107985734	LOC107985734		1.366	0.595
22883	CLSTN1	calsyntenin 1	3.626	0.422
84328	LZIC	leucine zipper and CTNNBIP1 domain containing	3.05	0.513
64802	NMNAT1	nicotinamide nucleotide adenylyltransferase 1	2.814	0.836
116362	RBP7	retinol binding protein 7	1.997	-0.857
5195	PEX14	peroxisomal biogenesis factor 14	2.712	0.296
54897	CASZ1	castor zinc finger 1	3.019	0.528
105376733	LOC105376733	uncharacterized LOC105376733	1.012	0.785
10747	MASP2	MBL associated serine protease 2	2.029	0.538
6723	SRM	spermidine synthase	3.052	-0.639
105376736	EXOSC10-AS1	EXOSC10 antisense RNA 1	1.455	-0.257
2475	MTOR	mechanistic target of rapamycin kinase	3.202	-0.261
100873935	MTOR-AS1	MTOR antisense RNA 1	1.191	-0.455
29914	UBIAD1	UbiA prenyltransferase domain containing 1	2.713	0.22
26270	FBXO6	F-box protein 6	2.462	-0.737
10459	MAD2L2	mitotic arrest deficient 2 like 2	2.596	-0.686
374946	DRAXIN	dorsal inhibitory axon guidance protein	1.083	-0.984
57085	AGTRAP	angiotensin II receptor associated protein	2.777	-0.413
1185	CLCN6	chloride voltage-gated channel 6	2.771	-0.391
100379251	NPPA-AS1	NPPA antisense RNA 1	1.965	-0.443
90231	KIAA2013	KIAA2013	3.367	0.558
5351	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	3.26	-0.907
9927	MFN2	mitofusin 2	3.421	0.265
943	TNFRSF8	TNF receptor superfamily member 8	1.566	-1.275
102465836	MIR7846	microRNA 7846	0.939	-1.21
7133	TNFRSF1B	TNF receptor superfamily member 1B	3.239	-0.974
9249	DHRS3	dehydrogenase/reductase 3	3.088	0.684
10630	PDPN	podoplanin	2.931	-2.546
7799	PRDM2	PR/SET domain 2	3.147	-0.512
23254	KAZN	kazrin, periplakin interacting protein	2.585	-0.353
200197	TMEM51-AS1	TMEM51 antisense RNA 1	2.133	0.371
55092	TMEM51	transmembrane protein 51	2.697	0.487
23341	DNAJC16	DnaJ heat shock protein family (Hsp40) member C16	2.875	0.321
79814	AGMAT	agmatinase	2.918	0.811
6248	RSC1A1	regulator of solute carriers 1	2.068	-0.564
23207	PLEKHM2	pleckstrin homology and RUN domain containing M2	3.27	-0.301
284723	SLC25A34	solute carrier family 25 member 34	2.536	1.011
110806303	SLC25A34-AS1	SLC25A34 and TMEM82 antisense RNA 1	1.209	0.886
